Date,Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2025-04-30,2025-04-30 00:00,-0.37011124222299185,17,0.3670176664177521,Clear 
2025-04-30,2025-04-30 01:00,-0.47129706597150733,17,0.3670176664177521,Clear 
2025-04-30,2025-04-30 02:00,-0.6129572192194289,18,0.4565244244771708,Clear 
2025-04-30,2025-04-30 03:00,-0.7141430429679444,18,0.21038083981376848,Clear 
2025-04-30,2025-04-30 04:00,-0.8355660314661633,19,-0.5056732246615838,Clear 
2025-04-30,2025-04-30 05:00,-0.9569890199643821,19,-0.5056732246615838,Clear 
2025-04-30,2025-04-30 06:00,-0.8558031962158666,20,-0.2819063295130362,Sunny
2025-04-30,2025-04-30 07:00,-0.02607944147803939,17,-0.8413235673844053,Sunny
2025-04-30,2025-04-30 08:00,0.6417469952621622,13,-1.9601580431271435,Sunny
2025-04-30,2025-04-30 09:00,1.0667274550059276,11,-1.646884389919177,Sunny
2025-04-30,2025-04-30 10:00,1.430996420500584,10,-0.684686740780422,Sunny
2025-04-30,2025-04-30 11:00,1.7547910564958324,9,0.2998875978731876,Sunny
2025-04-30,2025-04-30 12:00,1.9369255392431615,8,1.0159416623485398,Sunny
2025-04-30,2025-04-30 13:00,2.078585692491082,8,1.172578488952523,Sunny
2025-04-30,2025-04-30 14:00,2.1595343514898944,7,1.172578488952523,Sunny
2025-04-30,2025-04-30 15:00,2.139297186740192,7,1.1054484204079593,Sunny
2025-04-30,2025-04-30 16:00,2.038111362991677,7,1.0159416623485398,Sunny
2025-04-30,2025-04-30 17:00,1.8964512097437547,8,0.6131612510811544,Sunny
2025-04-30,2025-04-30 18:00,1.430996420500584,9,-0.03576274484963385,Sunny
2025-04-30,2025-04-30 19:00,0.6822213247615689,11,-0.684686740780422,Clear 
2025-04-30,2025-04-30 20:00,0.41913818301542927,12,-0.5056732246615838,Clear 
2025-04-30,2025-04-30 21:00,0.2167665355183976,13,-0.1028928133941983,Clear 
2025-04-30,2025-04-30 22:00,0.09534354702017947,13,0.21038083981376848,Clear 
2025-04-30,2025-04-30 23:00,-0.02607944147803939,14,0.05374401320978529,Clear 
2025-05-01,2025-05-01 00:00,-0.14750242997625826,15,0.21038083981376848,Clear 
2025-05-01,2025-05-01 01:00,-0.24868825372477374,16,0.05374401320978529,Clear 
2025-05-01,2025-05-01 02:00,-0.3498740774732892,16,-0.1028928133941983,Clear 
2025-05-01,2025-05-01 03:00,-0.45105990122180467,17,0.12087408175434934,Clear 
2025-05-01,2025-05-01 04:00,-0.5320085602206168,17,-0.1028928133941983,Clear 
2025-05-01,2025-05-01 05:00,-0.6331943839691323,17,-0.3490363980576006,Clear 
2025-05-01,2025-05-01 06:00,-0.5522457249703202,18,-0.5951799827210029,Sunny
2025-05-01,2025-05-01 07:00,0.09534354702017947,15,-1.2441039786517911,Partly Cloudy 
2025-05-01,2025-05-01 08:00,0.6417469952621622,13,-0.3490363980576006,Sunny
2025-05-01,2025-05-01 09:00,1.1274389492550376,11,0.3670176664177521,Sunny
2025-05-01,2025-05-01 10:00,1.5119450794993963,10,0.7026680091405735,Sunny
